         ps   /mic_full_filter_wt_tb/dout   
          0              0000000000000000 
  116785000              1111111111111011 
  136785000              1111111111110111 
  156785000              0000000000000100 
  176785000              1111111111110110 
  196785000              0000000000000011 
  236785000              1111111111011001 
  256785000              0000000000110011 
  276785000              1111111111010100 
  296785000              1111111111111011 
  316785000              0000000001001111 
  336785000              1111111101010100 
  356785000              0000000011011010 
  376785000              1111111101100000 
  396785000              1111111101111001 
  416785000              0000100100110001 
  436785000              0000100100100101 
  456785000              0000000101111110 
  476785000              0000000111101010 
  496785000              0000000111110111 
  516785000              0000000011011110 
  536785000              0000000011001011 
  556785000              0000000000111100 
  576785000              0000000011011011 
  596785000              0000000000101110 
  616785000              1111111110111011 
  636785000              0000000001110011 
  656785000              0000000001001111 
  676785000              1111111110010110 
  696785000              1111111110010011 
  716785000              0000000001010110 
  736785000              1111111101101111 
  756785000              1111111101110100 
  776785000              1111111110001100 
  796785000              1111111100001100 
  816785000              1111111101110100 
  836785000              1111110100000011 
  856785000              1111111101011010 
  876785000              1111110011111001 
  896785000              1111010011101001 
  916785000              0000000111100011 
  936785000              0000101010110111 
  956785000              0000000101100100 
  976785000              0000000101101100 
  996785000              0000001010010110 
 1016785000              0000000001101111 
 1036785000              0000000011111100 
 1056785000              0000000001000110 
 1076785000              0000000010110100 
 1096785000              0000000001011010 
 1116785000              1111111110101111 
 1136785000              0000000001110111 
 1156785000              0000000001010110 
 1176785000              1111111110010100 
 1196785000              1111111110011110 
 1216785000              0000000001011000 
 1236785000              1111111101110000 
 1256785000              1111111101110101 
 1276785000              1111111110001011 
 1296785000              1111111100001110 
 1316785000              1111111101110100 
 1336785000              1111110100000001 
 1356785000              1111111101011011 
 1376785000              1111110011111000 
 1396785000              1111010011101010 
 1416785000              0000000111100100 
 1436785000              0000101010110011 
 1456785000              0000000101101000 
 1476785000              0000000101101100 
 1496785000              0000001010010010 
 1516785000              0000000001110011 
 1536785000              0000000011111011 
 1556785000              0000000001000100 
 1576785000              0000000010111000 
 1596785000              0000000001011001 
 1616785000              1111111110101111 
 1636785000              0000000001111000 
 1656785000              0000000001010101 
 1676785000              1111111110010101 
 1696785000              1111111110011110 
 1716785000              0000000001011000 
 1736785000              1111111101110000 
 1756785000              1111111101110101 
 1776785000              1111111110001011 
 1796785000              1111111100001110 
 1816785000              1111111101110100 
 1836785000              1111110100000010 
 1856785000              1111111101011011 
 1876785000              1111110011110110 
 1896785000              1111010011101010 
 1916785000              0000000111100101 
 1936785000              0000101010110011 
 1956785000              0000000101100110 
 1976785000              0000000101101101 
 1996785000              0000001010010011 
 2016785000              0000000001101111 
 2036785000              0000000011111101 
 2056785000              0000000001000101 
 2076785000              0000000010110100 
 2096785000              0000000001011011 
 2116785000              1111111110101110 
 2136785000              0000000001110111 
 2156785000              0000000001011000 
 2176785000              1111111110010010 
 2196785000              1111111110011110 
 2216785000              0000000001011010 
 2236785000              1111111101101111 
 2256785000              1111111101110110 
 2276785000              1111111110001100 
 2296785000              1111111100001101 
 2316785000              1111111101110101 
 2336785000              1111110100000001 
 2356785000              1111111101011011 
 2376785000              1111110011111000 
 2396785000              1111010011101010 
 2416785000              0000000111100100 
 2436785000              0000101010110101 
 2456785000              0000000101100101 
 2476785000              0000000101101101 
 2496785000              0000001010010101 
 2516785000              0000000001101111 
 2536785000              0000000011111100 
 2556785000              0000000001000110 
 2576785000              0000000010110101 
 2596785000              0000000001011010 
 2616785000              1111111110101111 
 2636785000              0000000001110111 
 2656785000              0000000001010110 
 2676785000              1111111110010011 
 2696785000              1111111110011110 
 2716785000              0000000001011010 
 2736785000              1111111101101110 
 2756785000              1111111101110101 
 2776785000              1111111110001100 
 2796785000              1111111100001100 
 2816785000              1111111101110110 
 2836785000              1111110100000010 
 2856785000              1111111101011010 
 2876785000              1111110011111001 
 2896785000              1111010011101001 
 2916785000              0000000111100101 
 2936785000              0000101010110100 
 2956785000              0000000101100101 
 2976785000              0000000101101110 
 2996785000              0000001010010010 
 3016785000              0000000001110001 
 3036785000              0000000011111100 
 3056785000              0000000001000011 
 3076785000              0000000010111000 
 3096785000              0000000001011000 
 3116785000              1111111110101111 
 3136785000              0000000001111000 
 3156785000              0000000001010101 
 3176785000              1111111110010101 
 3196785000              1111111110011100 
 3216785000              0000000001011000 
 3236785000              1111111101110001 
 3256785000              1111111101110100 
 3276785000              1111111110001100 
 3296785000              1111111100001101 
 3316785000              1111111101110100 
 3336785000              1111110100000010 
 3356785000              1111111101011001 
 3376785000              1111110011111010 
 3396785000              1111010011101001 
 3416785000              0000000111100010 
 3436785000              0000101010110111 
 3456785000              0000000101100101 
 3476785000              0000000101101011 
 3496785000              0000001010010110 
 3516785000              0000000001101111 
 3536785000              0000000011111100 
 3556785000              0000000001000110 
 3576785000              0000000010110100 
 3596785000              0000000001011011 
 3616785000              1111111110101111 
 3636785000              0000000001110111 
 3656785000              0000000001010110 
 3676785000              1111111110010010 
 3696785000              1111111110011111 
 3716785000              0000000001011001 
 3736785000              1111111101101111 
 3756785000              1111111101110111 
 3776785000              1111111110001011 
 3796785000              1111111100001100 
 3816785000              1111111101110110 
 3836785000              1111110100000011 
 3856785000              1111111101011001 
 3876785000              1111110011110111 
 3896785000              1111010011101100 
 3916785000              0000000111100100 
 3936785000              0000101010110100 
 3956785000              0000000101100110 
 3976785000              0000000101101010 
 3996785000              0000001010010110 
 4016785000              0000000001110000 
